prod_cycle,base_id,color,start,end
0,0,2,16.87,72.87
1,1,1,13.498,68.198
1,2,1,26.874,82.874
1,3,2,35.786,202.186
1,4,2,55.058,111.058
1,5,0,64.9,119.6
1,6,0,78.49,243.59
1,7,0,106.056,160.756
2,8,1,2.25,56.95
2,9,1,24.43,80.43
3,10,0,16.304,71.004
3,11,1,45.535,100.235
3,12,1,58.236,114.236
3,13,1,73.964,128.664
3,14,0,113.847,168.547
3,15,0,123.21,251.51
3,16,0,139.487,194.187
4,17,1,11.213,65.913
4,18,0,32.457,160.757
4,19,2,46.423,102.423
4,20,0,63.312,118.012
5,21,1,0.442,55.142
5,22,0,31.58,86.28
5,23,1,44.049,100.049
6,24,0,6.727,61.427
6,25,1,26.686,82.686
7,26,0,4.483,59.183
7,27,2,28.368,84.368
7,28,0,39.896,94.596
7,29,2,54.374,110.374
7,30,2,63.668,156.468
8,31,1,5.672,60.372
8,32,1,22.32,78.32
8,33,1,49.041,103.741
8,34,0,60.431,225.531
8,35,2,92.415,148.415
8,36,2,100.852,304.052
8,37,0,133.792,188.492
8,38,1,144.11,236.91
8,39,0,171.558,263.058
9,40,1,24.241,78.941
9,41,2,33.548,89.548
9,42,2,44.117,173.717
9,43,0,52.372,107.072
9,44,1,80.987,135.687
9,45,1,94.151,186.951
9,46,1,120.307,211.807
10,47,2,12.192,68.192
10,48,2,22.123,151.723
10,49,2,39.742,95.742
11,50,0,8.922,63.622
11,51,2,21.1,77.1
11,52,0,44.821,99.521
11,53,2,68.073,124.073
11,54,0,87.867,142.567
11,55,0,103.023,231.323
11,56,0,122.605,177.305
11,57,1,135.225,191.225
11,58,2,155.879,248.679
12,59,1,2.357,57.057
13,60,0,15.161,69.861
13,61,1,38.856,94.856
13,62,2,56.594,149.394
14,63,0,12.435,67.135
14,64,0,30.852,122.352
14,65,0,40.21,94.91
15,66,2,18.466,74.466
15,67,1,42.46,97.16
15,68,2,51.501,107.501
15,69,0,61.903,153.403
16,70,2,2.424,58.424
16,71,1,13.698,68.398
16,72,0,24.183,115.683
16,73,0,37.07,202.17
16,74,0,63.27,154.77
17,75,2,7.728,63.728
17,76,0,25.103,79.803
17,77,1,37.862,93.862
17,78,0,63.566,118.266
17,79,0,74.747,203.047
17,80,0,93.683,148.383
17,81,0,119.839,174.539
17,82,0,140.961,232.461
17,83,2,150.202,243.002
17,84,2,177.629,270.429
18,85,0,19.589,74.289
18,86,0,35.112,310.612
